Number of files	File names	Informant	Year	Gender	Miscellanous
1	Alderd01.txt	E. A. Alderdice	1880	N/A	
2	AmbroM01.txt	Maurice Ambrose	1907	M	
3	AngilA01.txt	A. Angell	1842	N/A	
4	Anon__03.txt	Anonymous	1883	N/A	
5	Anon__10.txt	Anonymous	1836	N/A	
6	Anon__11.txt	Anonymous	1836	N/A	
7	Anon__12.txt	Anonymous	1836	N/A	
8	Anon__13.txt	Anonymous	1836	N/A	
9	Anon__14.txt	Anonymous	1836	N/A	
10	Anon__15.txt	Anonymous	1836	N/A	
11	Anon__16.txt	Anonymous	1836	N/A	
12	Anon__17.txt	Anonymous	1836	N/A	
13	Anon__18.txt	Anonymous	1836	N/A	
14	Anon__19.txt	Anonymous	1836	N/A	
15	Anon__20.txt	Anonymous	1836	N/A	
16	Anon__21.txt	Anonymous	1836	N/A	
17	Anon__22.txt	Anonymous	1836	N/A	
18	Anon__23.txt	Anonymous	1828	N/A	
19	Anon__24.txt	Anonymous	1829	N/A	
20	Anon__25.txt	Anonymous	1881	N/A	
21	Anon__26.txt	Anonymous	1881	N/A	
22	Anon__27.txt	Anonymous	1881	N/A	
23	Anon__28.txt	Anonymous	1881	N/A	
24	Anon__29.txt	Anonymous	1881	N/A	
25	Anon__30.txt	Anonymous	1881	N/A	
26	Anon__32.txt	Anonymous	1882	N/A	
27	Anon__33.txt	Anonymous	1882	N/A	
28	Anon__34.txt	Anonymous	1882	N/A	
29	Anon__35.txt	Anonymous	1882	N/A	
30	Anon__36.txt	Anonymous	1882	N/A	
31	Anon__37.txt	Anonymous	1882	N/A	
32	Anon__38.txt	Anonymous	1882	N/A	
33	Anon__39.txt	Anonymous	1882	N/A	
34	Anon__40.txt	Anonymous	1882	N/A	
35	Anon__41.txt	Anonymous	1882	N/A	
36	Anon__42.txt	Anonymous	1882	N/A	
37	Anon__43.txt	Anonymous	1882	N/A	
38	Anon__44.txt	Anonymous	1882	N/A	
39	Anon__45.txt	Anonymous	1882	N/A	
40	Anon__46.txt	Anonymous	1882	N/A	
41	Anon__47.txt	Anonymous	1882	N/A	
42	Anon__48.txt	Anonymous	1882	N/A	
43	Anon__49.txt	Anonymous	1882	N/A	
44	Anon__51.txt	Anonymous	1882	N/A	
45	Anon__52.txt	Anonymous	1882	N/A	
46	Anon__53.txt	Anonymous	1882	N/A	
47	Anon__54.txt	Anonymous	1882	N/A	
48	Anon__55.txt	Anonymous	1882	N/A	
49	Anon__56.txt	Anonymous	1882	N/A	
50	Anon__57.txt	Anonymous	1882	N/A	
51	Anon__58.txt	Anonymous	1882	N/A	
52	Anon__60.txt	Anonymous	1882	N/A	
53	Anon__61.txt	Anonymous	1882	N/A	
54	Anon__62.txt	Anonymous	1882	N/A	
55	Anon__63.txt	Anonymous	1882	N/A	
56	Anon__65.txt	Anonymous	1882	N/A	
57	Anon__67.txt	Anonymous	1882	N/A	
58	Anon__68.txt	Anonymous	1882	N/A	
59	Anon__70.txt	Anonymous	1882	N/A	
60	Anon__71.txt	Anonymous	1882	N/A	
61	Anon__72.txt	Anonymous	1882	N/A	
62	Anon__73.txt	Anonymous	1882	N/A	
63	Anon__74.txt	Anonymous	1882	N/A	
64	Anon__75.txt	Anonymous	1882	N/A	
65	Anon__76.txt	Anonymous	1882	N/A	
66	Anon__77.txt	Anonymous	1829	N/A	
67	Anon__78.txt	Anonymous	1854	N/A	
68	Anon__79.txt	Anonymous	1852	N/A	
69	Anon__80.txt	Anonymous	1817	N/A	
70	Anon__82.txt	Anonymous	1869	N/A	
71	Anon__83.txt	Anonymous	1901	N/A	
72	Anon__84.txt	Annie Carroll	1885	F	
73	Anon__85.txt	Anonymous	?	N/A	
74	Armita01.txt	Michael Armitas	1908	M	
75	Armita02.txt	Michael Armitas	1910	M	
76	ArmitJ01.txt	John Armitage	1724	M	
77	ArmitJ02.txt	John Armitage	1724	M	
78	ArmstJ01.txt	John Armstrong	1825	M	
79	Backup-Alderd01.txt	E. A. Alderdice	1880	N/A	
80	Backup-AmbroM01.txt	Maurice Ambrose	1907	M	
81	Backup-AngilA01.txt	A. Angell	1842	N/A	
82	Backup-Anon__12.txt	Anonymous	1836	N/A	
83	Backup-Anon__25.txt	Anonymous	1881	N/A	
84	Backup-Anon__83.txt	John (Anonymous)	?	N/A	
85	Backup-Armita01.txt	Michael Armitas	1908	M	
86	Backup-Armita02.txt	Michael Armitas	1910	M	
87	Backup-ArmstJ01.txt	John Armstrong	1825	M	
88	Backup-BirneJ01.txt	James Birney	1842	M	
89	Backup-BirneJ11.txt	James Birney	1852	M	
90	Backup-BoyceA01.txt	Alexander Boyce	1835	M	
91	Backup-BradlJ01.txt	John Bradley	1852	M	
92	Backup-BrienP01.txt	Peter Brian	1824	M	
93	Backup-BurkeM01.txt	Mary Burke	1802	F	
94	Backup-BurkeW01.txt	William Burke	1802	M	
95	Backup-ButleE01.txt	Ellen Butler	1849	F	
96	Backup-ButleJ02.txt	James Butler	1850	M	
97	Backup-CarleS03.txt	Samuel Carleton	1776	M	
98	Backup-CarleT01.txt	Thomas Carleton	1754	M	
99	Backup-CarleT06.txt	Thomas Carleton	1756	M	
100	Backup-CarlJ_01.txt	John Carroll	1884	M	
101	Backup-CarlJ_03.txt	John Carroll	1884	M	
102	Backup-CarroA01.txt	Annie Carroll	1886	F	
103	Backup-CarroA02.txt	Annie Carroll	1886	F	
104	Backup-CarroA03.txt	Annie Carroll	1886	F	
105	Backup-CarroA26.txt	Annie Carroll	1891	F	
106	Backup-CarroA38.txt	Annie Carroll	?	F	
107	Backup-CarroJ08.txt	Joseph Carrothers	1858	M	
108	Backup-CarroP01.txt	Peter Carrole	1848	M	
109	Backup-Carsen01.txt	Archibald Carsen	1854	M	
110	Backup-Carsen02.txt	Archibald Carsen	1856	M	
111	Backup-Chandl02.txt	Benjamin Chandlee	1707	M	
112	Backup-CowanR01.txt	Robert Cowan	1868	M	
113	Backup-CrandL01.txt	L. B. Crandell	1868	N/A	
114	Backup-CrandL02.txt	L. B. Crandell	1870	N/A	
115	Backup-CrandL03.txt	L. B. Crandell	1873	N/A	
116	Backup-Crogha05.txt	George Croghan	1764	M	
117	Backup-Crogha23.txt	George Croghan	1762	M	
118	Backup-Cuming01.txt	Denis Cumings	1861	M	
119	Backup-Doorle01.txt	Mary Anne Doorley	1877	F	
120	Backup-Doorle01a.txt	Mary Anne Doorley	1877	F	
121	Backup-Dunne_11.txt	Bridget McDonnell	1873	F	
122	Backup-EliotA01.txt	Alicia Eliot	1900	F	
123	Backup-EliotA04.txt	Alicia Eliot	1904	F	
124	Backup-EliotN01.txt	Nancy Eliot	1899	F	
125	Backup-EliotN03.txt	Nancy Eliot	1928	F	
126	Backup-FitzgP01.txt	Peter Fitzgibbons	1835	M	
127	Backup-GambJ_05.txt	John Gambell	?	M	
128	Backup-GamblA01.txt	Alexander Gambel	1861	M	
129	Backup-GambM_01.txt	Malcolm Gambel	1878	M	
130	Backup-GrahaC01.txt	C. Graham	1848	N/A	
131	Backup-GreenJ01.txt	Joseph Green	1861	M	
132	Backup-HenreB01.txt	Bridget Henrey	1855	F	
133	Backup-Hughes01.txt	Laurence Hughes	1863	M	
134	Backup-JohnsJ01.txt	Job Johnson	1766	M	
135	Backup-JohnsJ02.txt	Job Johnson	1767	M	
136	Backup-KellyM07.txt	Martin Kelly	1893	M	
137	Backup-KellyM08.txt	Martin Kelly	1894	M	
138	Backup-KellyM17.txt	Martin Kelly	1914	M	
139	Backup-KellyN01.txt	Ned Kelly	1879	M	
140	Backup-KempG_01.txt	George Kemp	1851	M	
141	Backup-KerrM_01.txt	Margarett Kerr	1799	F	
142	Backup-KerrS_01.txt	Samuel Kerr	1799	M	
143	Backup-LaganN01.txt	Neal Lagan	1844	M	
144	Backup-LynchH01.txt	Hannah Lynch	1847	F	
145	Backup-LynchW01.txt	William Lynch	1847	M	
146	Backup-LynchW02.txt	William Lynch	1875	M	
147	Backup-Madden01.txt	Christopher Madden	1912	M	
148	Backup-MarshM04.txt	Michael Marsh	1907	M	
149	Backup-McaghE01.txt	Ellen Mcagher	1884	F	
150	Backup-McCarE01.txt	Eleanor Mccarty	1821	F	
151	Backup-McCauC01.txt	C-E-L McCauley	1872	N/A	
152	Backup-McCauC02.txt	C-E-L McCauley	1872	N/A	
153	Backup-McCleB03.txt	Bridget McClear	1842	F	
154	Backup-McCoyT01.txt	Thomas McCoy	1841	M	
155	Backup-McCulD01.txt	David McCullough	1823	M	
156	Backup-McCulD02.txt	David McCullough	1829	M	
