Word	Target	NonTarget	TotalTarget	TotalNonTarget	p	x2	phi	RateTarget	RateNonTarget	Type	CorrSignificance
miles	2033	4	293573	166229	0	1144.4	0.0499	0.0069	0	Overuse	p<.001
water	1505	87	293573	166229	0	650.4	0.0376	0.0051	5e-4	Overuse	p<.001
country	1243	48	293573	166229	0	588.6	0.0358	0.0042	3e-4	Overuse	p<.001
creek	609	0	293573	166229	0	343.7	0.0273	0.0021	0	Overuse	p<.001
river	666	14	293573	166229	0	341.5	0.0273	0.0023	1e-4	Overuse	p<.001
camp	593	1	293573	166229	0	332.1	0.0269	0.002	0	Overuse	p<.001
natives	557	0	293573	166229	0	314.2	0.0261	0.0019	0	Overuse	p<.001
pm	551	0	293573	166229	0	310.8	0.026	0.0019	0	Overuse	p<.001
found	918	102	293573	166229	0	301.8	0.0256	0.0031	6e-4	Overuse	p<.001
south	517	2	293573	166229	0	286.4	0.025	0.0018	0	Overuse	p<.001
north	520	7	293573	166229	0	275.7	0.0245	0.0018	0	Overuse	p<.001
course	627	33	293573	166229	0	276.5	0.0245	0.0021	2e-4	Overuse	p<.001
like	735	69	293573	166229	0	264	0.024	0.0025	4e-4	Overuse	p<.001
camels	429	0	293573	166229	0	241.6	0.0229	0.0015	0	Overuse	p<.001
went	716	79	293573	166229	0	236	0.0227	0.0024	5e-4	Overuse	p<.001
wind	421	5	293573	166229	0	224.5	0.0221	0.0014	0	Overuse	p<.001
east	407	3	293573	166229	0	221.5	0.0219	0.0014	0	Overuse	p<.001
men	611	59	293573	166229	0	216.2	0.0217	0.0021	4e-4	Overuse	p<.001
west	405	5	293573	166229	0	215.4	0.0216	0.0014	0	Overuse	p<.001
range	377	0	293573	166229	0	212.1	0.0215	0.0013	0	Overuse	p<.001
feet	413	9	293573	166229	0	210.3	0.0214	0.0014	1e-4	Overuse	p<.001
large	550	46	293573	166229	0	207.8	0.0213	0.0019	3e-4	Overuse	p<.001
three	760	113	293573	166229	0	203.1	0.021	0.0026	7e-4	Overuse	p<.001
horses	525	43	293573	166229	0	200	0.0209	0.0018	3e-4	Overuse	p<.001
little	1280	301	293573	166229	0	200.6	0.0209	0.0044	0.0018	Overuse	p<.001
sydney	348	0	293573	166229	0	195.6	0.0206	0.0012	0	Overuse	p<.001
started	353	3	293573	166229	0	190.9	0.0204	0.0012	0	Overuse	p<.001
great	1051	224	293573	166229	0	190.5	0.0204	0.0036	0.0013	Overuse	p<.001
england	384	11	293573	166229	0	189.2	0.0203	0.0013	1e-4	Overuse	p<.001
