Period	Topics	Freq	Sum	Percent
1788-1800	Topic1_family	86	1210	7.1
1788-1800	Topic2_journey	443	1210	36.6
1788-1800	Topic3_landscape	130	1210	10.7
1788-1800	Topic4_exploration	70	1210	5.8
1788-1800	Topic5_indiginous	125	1210	10.3
1788-1800	Topic6_eployment	87	1210	7.2
1788-1800	Topic7_other	269	1210	22.2
1801-1820	Topic1_family	214	888	24.1
1801-1820	Topic2_journey	175	888	19.7
1801-1820	Topic3_landscape	106	888	11.9
1801-1820	Topic4_exploration	24	888	2.7
1801-1820	Topic5_indiginous	65	888	7.3
1801-1820	Topic6_eployment	79	888	8.9
1801-1820	Topic7_other	225	888	25.3
1821-1840	Topic1_family	467	3301	14.1
1821-1840	Topic2_journey	791	3301	24
1821-1840	Topic3_landscape	260	3301	7.9
1821-1840	Topic4_exploration	374	3301	11.3
1821-1840	Topic5_indiginous	524	3301	15.9
1821-1840	Topic6_eployment	289	3301	8.8
1821-1840	Topic7_other	596	3301	18.1
1841-1860	Topic1_family	801	2271	35.3
1841-1860	Topic2_journey	143	2271	6.3
1841-1860	Topic3_landscape	128	2271	5.6
1841-1860	Topic4_exploration	156	2271	6.9
1841-1860	Topic5_indiginous	258	2271	11.4
1841-1860	Topic6_eployment	407	2271	17.9
1841-1860	Topic7_other	378	2271	16.6
1861-1880	Topic1_family	380	1895	20.1
1861-1880	Topic2_journey	66	1895	3.5
1861-1880	Topic3_landscape	629	1895	33.2
1861-1880	Topic4_exploration	313	1895	16.5
1861-1880	Topic5_indiginous	160	1895	8.4
1861-1880	Topic6_eployment	196	1895	10.3
1861-1880	Topic7_other	151	1895	8
1881-1900	Topic1_family	377	4263	8.8
1881-1900	Topic2_journey	158	4263	3.7
1881-1900	Topic3_landscape	1076	4263	25.2
1881-1900	Topic4_exploration	1185	4263	27.8
1881-1900	Topic5_indiginous	395	4263	9.3
1881-1900	Topic6_eployment	791	4263	18.6
1881-1900	Topic7_other	281	4263	6.6
